Table 1: Power Plant Data,,,,
AT,V,AP,RH,PE
8.34,40.77,1010.84,90.01,480.48
23.64,58.49,1011.4,74.2,445.75
29.74,56.9,1007.15,41.91,438.76
19.07,49.69,1007.22,76.79,453.09
11.8,40.66,1017.13,97.2,464.43
13.97,39.16,1016.05,84.6,470.96
22.1,71.29,1008.2,75.38,442.35
14.47,41.76,1021.98,78.41,464.79
28.53,69.84,1004.46,68.03,427.72
13.89,35.71,1016.4,65.49,468.54
25.93,69.34,1008.91,79.43,434.08
17.84,61.27,1020.1,70.68,454.57
6.28,41.06,1020.96,90.91,489.79
8.16,39.64,1011.21,85.56,481.78
18.61,67.71,1004.07,84.49,443.57
16.23,43.72,1009.96,83.01,457.9
8.66,41.01,1022.51,98.55,472.16
19.53,66.54,1013.72,81.46,451.19
10.17,40.46,1018.54,68.21,470.33
6.48,40.27,1010.55,82.12,486.68
12.69,40.75,1016.05,82.92,472.68
23.77,61.87,1009.8,54.83,445.72

,,,,
Table 2: Sensor 1 Results,,,,
AR,VT,AP1,RH1,PE1
8.34,40.77,1010.84,90.01,480.48
23.64,58.49,1011.4,74.2,445.75