Table 1: Power Plant3 Data,,,,
timestamp,temperature,pressure,humidity,efficiency
2024-01-01,22.5,101.3,45,92.1
2024-01-02,23.1,101.2,48,93.5
2024-01-03,21.8,101.1,42,91.2
2024-01-04,24.2,101.4,50,94.8
2024-01-05,22.9,101.3,46,93.1
2024-01-06,23.5,101.2,49,94.2
2024-01-07,21.5,101.1,41,90.5
2024-01-08,24.8,101.5,52,95.3
2024-01-09,23.2,101.3,47,93.8
2024-01-10,22.1,101.2,44,91.9
,,,,
Table 2: Sensor 3 Results,,,,
timestamp,temperature-1,pressure-1,humidity-1,efficiency-1
2024-01-07,20.5,99.1,38,110.2
2024-01-08,25.3,102.5,55,115.6
2024-01-09,22.8,100.3,45,108.7
2024-01-10,21.0,99.8,40,105.4